Code,Fluggesellschaft,Land,Bemerkung
0B,Blue Air,Rumänien,
0D,Darwin Airline,Schweiz,neuer Code: F7
0J,Premium Jet,Schweiz,
1A,Amadeus Global Travel Distribution,Spanien,
1B,Abacus International,Singapur,
1C,Hewlett-Packard GmbH,Schweiz,
1D,Radixx Solutions International,USA,
1E,Travelsky Technology,China,
1F,INFINI Travel Information,Japan,
1G,Galileo International (Galileo Host),USA,
1H,JSC Sirena-Travel,Russland,
1I,Netjets,USA,
1I,Deutsche Rettungsflugwacht,Deutschland,
1I,Novair,Schweden,neuer Code: N9
1I,Sierra Nevada Airlines,USA,
1J,Axess international,Japan,
1K,Sutra,USA,
1K,Southern Cross Distribution,Australien,
1L,OpenSkies,Vereinigtes Königreich,neuer Code: EC
1M,JSC Transport Automated Information Systems,Russland,
1N,Navitaire,USA,
1P,WorldSpan,USA,
1Q,InteliSys Aviation Systems,Kanada,
1R,Hainan Phoenix Information Systems,China,
1S,Sabre,USA,
1T,PT Aerosystems Indonesia,Indonesien,
1U,ITA Software,USA,
1V,Galileo International (Apollo Host),USA,
1V,Branson Air Express,USA,
1Y,Electronic Data Systems,USA,
1Z,Sabre Pacific,Australien,
2A,Deutsche Bahn,Deutschland,"Eisenbahngesellschaft, siehe Rail&Fly"
2C,SNCF,Frankreich,"Eisenbahngesellschaft, Rail&Fly"
2D,Dynamic Airways,USA,
2E,Smokey Bay Air,USA,
2F,Payam Air,Iran,
2G,Angara Airlines,Russland,
2H,Thalys,Belgien,"Eisenbahngesellschaft, Rail&Fly"
2I,Star Perú,Peru,
2J,Air Burkina,Burkina Faso,
2K,AeroGal,Ecuador,2012 Fusion mit Aero VIP zu Avianca Ecuador
2L,Helvetic Airways,Schweiz,
2L,Transportes Aéreos Bolivianos,Bolivien,
2N,Nextjet,Schweden,
2P,PAL Express,Philippinen,früherer Name Airphil Express und Air Philippines
2Q,Air Cargo Carriers,USA,
2S,Island Express,USA,
2U,Sun d’Or International Airlines,Israel,"Entzug der Betriebserlaubnis 2011, seitdem Durchführung der Flüge durch die Muttergesellschaft El Al"
2V,Amtrak,USA,"Eisenbahngesellschaft, Rail&Fly"
2W,Welcome Air,Österreich,Code nicht mehr genutzt
2Y,My Indo Airlines,Indonesien,
2Z,Chang An Airlines,China,neuer Code: 9H
2Z,Passaredo Linhas Aéreas,Brasilien,
3A,Alliance Airlines,USA,
3D,Denim Air,Niederlande,Code nicht mehr genutzt
3D,Dokasch Air Cargo Equipment,Deutschland,
3E,Air Choice One,USA,
3F,Pacific Airways,USA,
3G,Gading Sari,Malaysia,
3H,Air Inuit,Kanada,
3J,Jubba Airways (Kenia),Kenia,
3K,Jetstar Asia Airways,Singapur,
3M,Silver Airways,USA,
3N,Air Urga,Ukraine,
3O,Air Arabia Maroc,Marokko,
3P,Tiara Air,Aruba,
3R,Avior Regional,Venezuela,
3S,Aerologic,Deutschland,Joint Venture von DHL und Lufthansa
3S,Air Antilles Express,Guadeloupe,
3T,Tarco Airlines,Sudan,
3U,Sichuan Airlines,China,
3V,TNT Airways,Belgien,
3W,Malawian Airlines,Malawi,
3W,Wan Air,Französisch-Polynesien,
3X,Japan Air Commuter,Japan,neuer Code: JC
3X,Premier Trans Aire,USA,
3Z,Everts Air,USA,neuer Code: 5V
3Z,Travel Service Polska,Polen,
4A,Air Kiribati,Kiribati,
4B,Boutique Air,USA,
4B,Perimeter Aviation,Kanada,neuer Code: YP
4C,LAN Colombia,Kolumbien,
4D,Air Sinai,Ägypten,
4E,Stabo Air,Sambia,
4E,Tanana Air Service,USA,
4G,Advance Leasing Company,USA,Code nicht mehr genutzt
4G,Gazpromavia,Russland,
4G,Shenzhen Airlines,China,neuer Code: ZH
4H,United Airways,Bangladesch,
4I,İzmir Airlines,Türkei,
4J,Flydamas Airlines,Syrien,
4K,Kenn Borek Air,Kanada,
4L,Air Astana,Kasachstan,neuer Code: KC
4M,LAN Argentina,Argentinien,
4N,Air North,Kanada,
4O,Interjet,Mexiko,
4P,Travel Air,Papua-Neuguinea,
4Q,Safi Airways,Afghanistan,
4R,Royal Flight Airlines,Russland,neuer Code: RL
4S,Solar Cargo,Venezuela,
4U,Germanwings,Deutschland,Betrieb durch Eurowings fortgesetzt
4U,Tavaj Linhas Aereas,Brasilien,
4V,Voyageur Airways,Kanada,Code nicht mehr genutzt
4W,Allied Air,Nigeria,
4W,Warbelow’s Air Ventures,USA,
4Y,Airbus Transport International,Frankreich,
4Y,Yute Air Alaska,USA,
4Z,South African Airlink,Südafrika,
5A,Alpine Aviation,USA,
5B,Bassaka Air,Kambodscha,
5B,Trans International Express,USA,Code nicht mehr genutzt
5C,CAL Cargo Airlines,Israel,
5D,Aerolitoral,Mexiko,
5E,East Coast Flight Services,USA,
5F,Arctic Circle Air Service,USA,Code wird seit 2011 nicht mehr genutzt
5H,Fly540,Kenia,
5J,Cebu Pacific,Philippinen,
5K,Hi Fly,Portugal,
5L,Fly Salone,Vereinigtes Königreich,
5M,Montserrat Airways,Montserrat,
5N,Nordavia (Russland),Russland,
5O,Europe Airpost,Frankreich,
5P,ACM Air Charter,Deutschland,
5R,RUTACA Airlines,Venezuela,
5S,Servicios Aéreos Profesionales,Dominikanische Republik,
5T,Canadian North,Kanada,
5U,Transportes Aéreos Guatemaltecos,Guatemala,
5V,Everts Air,USA,
